Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
304       1.6770              2.8123              6.0034              10.5747             
305       1.1658              4.1684              24.1292             29.5327             
306       3.2056              6.0658              16.2457             45.7500             
307       1.1556              3.9449              13.2469             18.4290             
308       2.7378              4.8500              17.7666             36.1608             
309       1.8549              2.8224              5.2155              9.9675              
311       1.7531              2.7924              15.4632             20.0950             
312       1.9679              2.8195              9.2483              14.1180             
313       2.1143              2.7905              7.1889              12.1860             
315       2.1345              4.8834              10.4362             17.5302             
317       3.4429              9.3224              25.8618             43.3479             
318       2.8793              3.8445              18.6282             61.9304             
319       6.7935              8.9310              17.5487             79.4378             
320       1.7787              2.8128              6.0495              10.7162             
321       1.8788              3.1083              12.6206             17.7028             
323       1.9948              5.0279              6.9550              14.0568             
324       1.9182              5.0423              15.5302             22.5830             
325       6.5281              5.0964              10.7171             22.5508             
327       1.8530              5.0562              10.2429             17.2270             
329       3.0800              5.3582              14.2872             31.4643             
330       1.0809              2.8363              8.9292              12.9206             
347       1.2709              2.8355              6.7406              11.8895             
348       1.5563              3.7498              10.7657             16.1450             
351       2.5110              3.3602              10.4296             26.5744             
352       1.0478              2.7746              11.3376             15.2582             
353       1.9887              2.8286              14.5097             19.4061             
354       3.4567              7.7351              21.5523             33.0224             
356       4.9369              5.3153              12.8602             45.8197             
357       1.6438              2.8210              7.0028              11.5424             
359       2.1013              5.1523              14.8621             22.2135             
360       2.2589              2.8342              7.8055              12.9837             
362       1.4281              4.7809              10.3504             18.2798             
394       1.5781              2.8565              12.9136             17.4311             
395       1.9058              2.8515              6.9899              11.8245             
396       2.3642              5.1026              12.7651             20.3170             
397       1.9719              5.0997              17.9786             25.1301             
398       1.4885              5.0818              17.4227             24.0665             
399       2.0950              2.8141              6.1439              11.1280             
400       2.2400              5.0817              5.1368              12.5517             
401       1.7899              5.0421              8.3854              15.3012             
402       2.1143              5.0575              7.1760              14.4403             
403       2.3357              5.0503              17.1873             24.6627             
404       2.0903              5.0412              14.1906             21.4006             
406       1.4296              5.7667              7.2188              14.4852             
407       4.4411              6.3006              13.0381             27.5049             
408       0.2628              2.8330              7.9868              11.1548             
409       1.4432              2.8008              5.3622              9.6849              
410       1.9155              2.8282              7.7527              12.5786             
442       1.4938              4.3688              8.9513              14.8971             
458       2.0706              2.8411              11.6305             16.6370             
459       2.2976              2.8439              15.2695             20.4952             
460       1.9776              2.8184              9.1666              14.0930             
462       8.5680              5.1763              7.0565              24.4154             
464       1.9134              2.8479              16.1248             20.9554             
466       2.0716              2.8029              8.1910              13.1534             
468       1.0441              2.8654              8.8748              12.8623             
470       2.0929              3.8213              12.7584             18.7558             
471       2.5969              5.9146              16.1106             34.8442             
472       2.2133              4.2463              9.7688              17.3545             
473       1.2041              2.8479              9.1445              13.2843             
474       2.9994              5.0633              13.6565             22.5845             
490       1.1248              5.0566              11.6348             17.8942             
491       2.8760              5.0262              10.2782             28.1597             
493       2.0448              4.8352              17.6972             24.6972             
494       3.8005              3.1429              18.4109             43.0880             
495       0.9304              5.1772              18.1505             34.9614             
496       3.2302              6.0775              22.2536             31.6978             
497       8.0122              6.6283              34.3262             57.7985             
498       5.5235              5.0834              14.5616             57.4072             
500       3.0588              5.0822              7.4068              32.2262             
501       2.1696              4.9918              21.5327             28.7830             
503       3.8105              5.1599              12.3655             23.7303             
505       10.7556             5.1252              11.1571             34.8424             
506       1.7153              2.8174              8.6090              13.2329             
508       2.4958              5.0690              15.2789             22.9421             
510       1.9397              5.0701              9.7750              16.8656             
511       2.1925              7.6217              15.5379             26.8117             
527       1.5353              2.7989              8.8569              13.2621             
528       2.2111              2.7986              8.1626              13.2669             
530       1.3456              2.8232              13.2232             17.4647             
531       1.8508              4.8606              19.5246             26.3183             
547       4.1680              7.3744              13.6570             47.8866             
548       4.5931              5.1429              13.0946             26.3686             
549       4.0316              4.1840              10.0667             22.1893             
550       1.6695              2.8232              5.6371              10.2168             
551       2.1739              2.8038              9.4956              14.5535             
552       0.7858              2.8145              7.4279              11.1172             
553       1.1185              2.8230              6.1003              10.1347             
554       3.0474              4.6410              12.8490             20.8218             
565       2.4205              9.5733              20.8975             41.7045             
566       2.9871              9.1103              9.2041              50.8596             
567       3.3095              6.5718              11.8804             62.6985             
568       2.9229              2.8282              10.6874             16.5294             
569       1.9020              2.7872              6.3716              11.1423             
570       2.4775              2.8023              8.3592              13.7190             
571       2.3808              3.5029              9.0301              15.0047             
573       1.5403              3.2705              19.5634             31.4023             
574       1.0226              4.0877              13.7721             18.9596             
576       2.9468              3.3343              9.6324              28.5857             
577       0.7746              2.8093              7.1494              10.8221             
578       2.7781              2.8146              17.6187             23.2963             
580       2.1547              2.8010              15.4013             20.4299             
