Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
356       4.9369              6.0929              17.9689             50.8020             
357       1.6438              4.6112              19.7278             26.0497             
359       2.1013              4.3524              23.6989             30.2462             
360       2.2589              4.3925              23.7291             30.4567             
362       1.4281              6.5908              27.6838             35.7641             
394       1.5781              4.9992              23.8083             30.4698             
395       1.9058              4.6919              14.7325             21.4029             
396       2.3642              4.2525              19.6746             26.3690             
397       1.9719              4.2359              18.8746             25.1522             
398       1.4885              4.2328              18.7172             24.5104             
399       2.0950              4.4058              10.4596             17.0325             
400       2.2400              4.2516              16.7232             23.2926             
401       1.7899              4.2450              15.0997             21.2144             
402       2.1143              4.2490              21.0452             27.4798             
403       2.3357              4.2344              19.5777             26.2351             
404       2.0903              4.2547              20.5395             26.9588             
406       1.4296              5.9385              19.0419             26.4758             
407       4.4411              7.0709              16.5279             42.9839             
408       0.2628              4.6167              21.6550             26.6037             
409       1.4432              4.6823              20.1287             26.3304             
410       1.9155              5.2736              21.6535             28.9085             
442       1.4938              5.9247              31.6917             39.1761             
458       2.0706              5.1636              34.2064             41.5177             
459       2.2976              4.3136              23.1603             29.8463             
460       1.9776              5.1346              27.6367             34.8790             
462       8.5680              8.1959              24.2997             44.3448             
464       1.9134              4.4744              22.7561             29.2168             
466       2.0716              4.4868              22.0559             28.6968             
468       1.0441              4.3765              27.6460             33.1427             
470       2.0929              5.2639              27.9067             35.3552             
471       2.5969              6.3292              17.2873             52.5749             
472       2.2133              7.3546              21.0994             32.9196             
473       1.2041              4.3595              27.2996             32.9363             
474       2.9994              6.8356              26.5942             37.2813             
490       1.1248              7.6177              30.2421             39.0601             
491       2.8760              7.5730              15.2200             54.2542             
493       2.0448              6.9016              28.4359             37.5082             
494       3.8005              7.5637              21.7771             59.2389             
495       0.9304              10.3673             30.9538             63.9110             
496       3.2302              8.0004              24.3505             57.1767             
497       8.0122              13.7817             28.6639             77.6044             
498       5.5235              7.5801              28.2243             90.8796             
500       3.0588              7.6966              24.2892             82.6040             
501       2.1696              7.7781              23.7189             73.0877             
503       3.8105              11.6733             18.6802             56.1939             
505       10.7556             8.2929              9.4967              65.6673             
506       1.7153              5.2840              25.8432             32.9260             
508       2.4958              6.6515              20.2703             29.5285             
510       1.9397              6.9168              39.0124             47.9464             
511       2.1925              13.7180             17.7812             48.2604             
527       1.5353              4.5325              26.5174             32.6485             
528       2.2111              4.4185              21.5456             28.2551             
530       1.3456              4.7187              22.2541             28.3846             
531       1.8508              8.7270              22.9373             33.5804             
547       4.1680              7.8545              32.9278             66.1476             
548       4.5931              11.1275             19.9967             51.5189             
549       4.0316              10.7265             16.4562             46.7387             
