index   ul_delay_ms   duration_ms   packet_size  sync_rtt_ms
270     15.78         60.01         100000      6.65      
271     16.51         32.74         100000      6.25      
272     18.41         65.95         100000      6.25      
273     25.05         32.86         100000      6.32      
274     17.69         67.79         100000      6.32      
275     18.27         50.51         100000      6.29      
276     35.52         25.38         100000      6.29      
277     17.47         35.37         100000      7.39      
278     19.16         29.06         100000      7.39      
279     16.18         37.52         100000      6.51      
280     18.96         32.94         100000      6.51      
281     21.38         23.94         100000      6.40      
282     19.12         51.22         100000      6.40      
283     45.75         20.94         100000      6.51      
284     21.72         34.45         100000      6.51      
285     17.32         49.96         100000      6.26      
286     20.37         51.93         100000      6.26      
287     20.34         37.39         100000      6.44      
288     18.66         29.87         100000      6.44      
289     18.75         27.79         100000      6.34      
290     24.81         26.17         100000      6.34      
291     19.67         34.13         100000      6.67      
292     17.81         51.32         100000      6.67      
293     33.08         29.89         100000      6.87      
294     20.41         36.66         100000      6.87      
295     20.09         25.87         100000      6.24      
296     19.23         30.88         100000      6.24      
297     20.52         25.85         100000      6.67      
298     18.45         43.83         100000      6.67      
299     18.92         28.34         100000      6.20      
300     30.67         30.02         100000      6.20      
301     20.03         26.30         100000      6.62      
302     20.61         43.20         100000      6.62      
303     17.50         48.27         100000      6.73      
304     16.51         44.35         100000      6.73      
305     19.15         31.47         100000      6.56      
306     21.17         26.86         100000      6.56      
307     19.77         39.80         100000      6.60      
308     17.75         41.17         100000      6.60      
309     19.79         27.26         100000      6.62      
310     51.00         24.94         100000      6.62      
311     16.41         38.65         100000      6.36      
312     20.51         25.86         100000      6.36      
313     18.24         45.97         100000      6.43      
314     19.46         26.65         100000      6.43      
315     18.30         64.13         100000      6.39      
316     17.78         36.15         100000      6.39      
317     27.81         24.41         100000      6.54      
318     18.41         35.00         100000      6.54      
319     18.06         33.18         100000      6.54      
320     46.40         28.97         100000      6.54      
321     18.28         29.64         100000      6.12      
322     42.24         36.47         100000      6.12      
323     20.50         37.65         100000      6.37      
324     17.49         40.54         100000      6.37      
325     19.84         31.72         100000      6.58      
326     25.21         28.36         100000      6.58      
327     19.75         29.83         100000      6.37      
328     20.64         24.52         100000      6.37      
329     20.37         33.41         100000      6.54      
330     33.58         24.04         100000      6.54      
331     20.31         25.74         100000      6.43      
332     18.20         51.77         100000      6.43      
