Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
1578      5.3364              4.3261              4.5865              14.3242             
1581      2.8876              4.2653              5.1464              12.3698             
1584      4.4680              4.3215              8.6606              17.5221             
1587      4.8825              5.2774              13.2717             23.5011             
1590      4.0383              7.4522              7.9327              27.7985             
1623      5.1190              7.6354              12.7003             25.5314             
1626      3.7990              7.6016              14.9209             40.4677             
1629      5.0974              5.0823              9.5068              19.7973             
1632      5.2669              13.4412             8.7169              27.9250             
1634      10.7722             6.2690              9.9478              37.7959             
1635      1.6932              4.2751              5.8646              11.9259             
1638      2.8627              4.2803              5.8388              13.0646             
1671      2.7279              4.2219              6.7997              15.5509             
1674      5.2952              4.2361              6.9217              16.5373             
1680      4.2559              8.0505              9.4703              21.8573             
1683      8.2881              12.3755             6.6516              31.5748             
1684      2.5788              4.2827              11.4234             18.3569             
1686      5.0394              5.6016              7.7427              18.4705             
1719      2.6188              6.9701              14.4840             27.2415             
1722      3.6144              9.6374              15.7393             38.5419             
1734      16.6045             11.0827             7.0125              45.4840             
1735      3.1771              4.2648              4.2381              11.7546             
1738      4.1798              4.2602              6.1053              14.6158             
1741      2.8374              4.2718              5.6039              12.7926             
1744      3.6589              4.2693              3.7893              11.8018             
1750      2.8451              4.2367              6.7904              13.9493             
1767      2.9284              7.6628              9.6698              20.3329             
1768      2.7461              7.6750              7.1558              17.6450             
1770      2.6766              7.7261              9.6121              20.0857             
1771      4.9543              7.5594              12.9862             33.0846             
1772      6.0812              6.2893              17.1428             50.2532             
1774      6.8197              8.2670              11.6400             55.4628             
1775      7.2926              6.1694              10.1581             38.7774             
1777      6.5496              5.4050              6.3799              34.5645             
1780      4.6461              4.2672              11.4085             20.3912             
1783      8.1971              6.4478              9.1622              26.5234             
1784      8.0287              8.9643              15.0762             43.8485             
1787      3.9260              7.5071              8.2890              52.1155             
1790      5.0330              7.5238              14.4965             27.1367             
1793      7.9002              6.1170              9.5160              36.6891             
1795      11.0715             9.4908              10.4017             31.7704             
1809      2.8799              7.6184              8.8581              19.4497             
1814      3.6855              7.5276              8.9942              28.4643             
1816      4.4947              9.8868              10.9554             39.4498             
1819      6.2380              11.7615             12.2907             51.9224             
1822      8.0292              6.4351              13.0270             64.9611             
1824      7.2240              7.0620              9.1762              74.1357             
1825      7.1956              7.4866              18.5079             72.1492             
1828      8.8595              16.1138             8.5350              35.8171             
1831      5.9855              7.5150              11.5207             47.8485             
1833      2.5427              7.6965              6.9556              17.2784             
1835      3.9894              11.2587             10.4443             37.5312             
1838      4.4181              12.8871             13.3844             50.9290             
1841      9.0947              11.1425             13.1472             64.0527             
1845      7.3774              10.2955             9.0722              73.0979             
1847      8.9777              9.9554              11.1074             44.2088             
1851      7.0841              6.2608              12.8421             28.0082             
1852      6.7850              8.3568              6.6768              31.3725             
1854      2.8068              5.1103              10.2926             18.2790             
1855      5.2061              9.3125              20.8075             35.5465             
1857      10.5320             9.0540              10.7027             46.2356             
1860      11.3548             8.8750              11.7607             42.9551             
1861      7.4017              7.1508              4.9573              19.6064             
1864      7.0409              7.6546              9.7753              24.6913             
1867      3.1453              7.6655              8.3388              19.2273             
1870      3.4678              9.5311              4.6606              17.7593             
1872      2.8063              4.2807              3.8463              11.0046             
1889      5.0470              4.2537              5.8762              15.2587             
1891      12.7318             7.6301              8.1791              29.3460             
1895      2.8466              5.1693              10.3214             18.4302             
1896      4.0504              8.0824              14.6453             33.0925             
1897      14.0826             6.4499              21.6188             42.9275             
1899      5.5059              6.6767              10.2256             31.6640             
1901      6.9017              7.3912              9.0228              26.4735             
1902      2.7778              4.6461              6.5361              14.0673             
1903      4.5686              5.1378              11.9493             21.8226             
1904      3.1229              6.3341              13.9595             23.4997             
1920      2.4699              7.0028              8.4862              23.2406             
1937      2.7399              5.3935              7.7541              17.0413             
1939      4.5878              7.2381              7.3712              24.4295             
1941      4.4150              5.7530              5.8815              25.4679             
1943      4.0843              8.1639              12.2349             24.7003             
1945      2.7164              4.2578              7.9466              15.0118             
1947      4.7621              4.3014              5.8796              16.4652             
1948      3.6501              5.8602              18.2612             27.8575             
1949      6.2525              9.9804              7.2532              35.1213             
1952      8.9550              14.5631             6.9422              42.0340             
1953      5.3063              6.5646              18.2894             31.2842             
1954      6.5691              10.1833             8.9415              40.1900             
1955      10.1066             4.6388              4.8014              19.7726             
1957      2.2394              4.2999              9.4487              16.0672             
