Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
1421      2.7686              8.4724              14.3332             25.6477             
1424      5.0668              8.8958              16.1753             30.6944             
1427      5.0462              8.3555              16.4278             29.9125             
1430      5.1067              8.4505              23.8930             37.5289             
1433      7.1254              8.4731              15.5333             39.2757             
1436      2.6961              9.8222              21.0796             33.6745             
1500      3.8001              10.5007             14.6347             29.3529             
1516      1.4730              4.4618              9.4761              15.4762             
1532      2.2931              8.4436              17.5458             33.3321             
1548      6.4843              4.4344              14.9969             30.8522             
1549      1.2490              4.4991              11.1841             16.9976             
1551      5.4326              7.8530              14.9651             28.3466             
1554      7.8254              5.8214              12.1441             40.4042             
1555      2.4798              4.3326              11.9135             18.8080             
1566      2.7360              4.4133              12.7116             19.9316             
1569      2.6582              8.0158              13.2562             24.0071             
1572      8.8666              9.3009              15.4638             39.4304             
1573      1.9345              7.6138              23.8716             33.6468             
1575      8.3983              5.8728              14.2358             47.8129             
1576      1.9756              4.4006              10.8126             17.2563             
1578      5.3364              4.3846              14.4765             24.2624             
1581      2.8876              4.3411              13.8326             21.1317             
1584      4.4680              4.3814              10.5824             19.5074             
1587      4.8825              5.4612              13.5971             24.0168             
1590      4.0383              11.3270             16.4426             36.8084             
1623      5.1190              5.4884              16.5038             27.1842             
1626      3.7990              6.0241              21.8614             49.0675             
1629      5.0974              5.7095              33.4248             44.3295             
1632      5.2669              10.2510             21.6353             45.8363             
1634      10.7722             7.4048              7.8257              53.5794             
1635      1.6932              4.3810              18.2961             24.4488             
1638      2.8627              4.3638              17.2327             24.5463             
1671      2.7279              4.3786              14.3819             23.2854             
1674      5.2952              4.3946              14.2088             23.9744             
1680      4.2559              7.6394              17.8685             29.8339             
1683      8.2881              9.4965              14.6915             44.4977             
1684      2.5788              4.4108              15.0913             22.1588             
1686      5.0394              6.3853              15.9904             27.4900             
1719      2.6188              5.5332              19.8269             28.0539             
1722      3.6144              21.9021             19.0554             44.6771             
1734      16.6045             14.2822             13.3904             57.9889             
1735      3.1771              4.4028              10.7535             18.4098             
1738      4.1798              4.3800              9.3235              17.9573             
1741      2.8374              4.3820              12.3766             19.6579             
1744      3.6589              4.3998              10.2565             18.3904             
1750      2.8451              4.7703              15.7778             23.4590             
1767      2.9284              8.3147              14.4682             25.7853             
1768      2.7461              8.3402              15.1812             26.3306             
1770      2.6766              9.0609              29.2355             41.4634             
1771      4.9543              10.0980             30.2681             71.7139             
1772      6.0812              8.8081              18.2033             89.9225             
1774      6.8197              6.6536              7.8717              91.3551             
1775      7.2926              7.8536              7.1469              71.6432             
1777      6.5496              11.0057             8.7311              69.7787             
1780      4.6461              4.3770              13.1018             22.2040             
1783      8.1971              8.7787              16.7460             36.8534             
1784      8.0287              8.2537              17.6691             54.5083             
1787      3.9260              12.8008             8.6824              63.1693             
1790      5.0330              8.6913              18.7701             32.5716             
1793      7.9002              11.6932             14.1234             46.7147             
1795      11.0715             10.5039             9.7353              41.1396             
1809      2.8799              6.4024              42.0393             51.4064             
1814      3.6855              6.9344              24.3417             75.7448             
1816      4.4947              8.8505              20.1241             95.8688             
1819      6.2380              10.2739             15.3016             111.1768            
1822      8.0292              14.8924             11.2459             122.4310            
1824      7.2240              8.9894              8.6149              131.0319            
1825      7.1956              8.7389              8.1798              118.7109            
1828      8.8595              10.0495             12.0057             85.8367             
1831      5.9855              14.9200             12.6887             98.4649             
1833      2.5427              8.9780              15.1561             29.8543             
1835      3.9894              8.3548              17.3793             47.2004             
1838      4.4181              15.9177             20.7910             67.9762             
1841      9.0947              8.4535              18.2658             86.2156             
1845      7.3774              7.8776              18.4422             104.6295            
1847      8.9777              11.2230             18.6685             83.2971             
1851      7.0841              9.8354              10.6635             58.2960             
1852      6.7850              7.8273              8.7065              63.6501             
1854      2.8068              5.6386              22.0753             30.5939             
1855      5.2061              16.0590             16.9931             44.0304             
1857      10.5320             15.1885             17.2610             61.2773             
1860      11.3548             8.0464              8.4299              54.6628             
1861      7.4017              6.3586              14.2150             29.2964             
1864      7.0409              4.4711              11.4339             23.1686             
1867      3.1453              4.5182              14.9827             22.7138             
1870      3.4678              8.4744              9.9134              21.9310             
1872      2.8063              8.5674              15.0386             26.4800             
1889      5.0470              4.7677              22.5052             32.3911             
1891      12.7318             5.4188              15.2638             33.4959             
1895      2.8466              5.3627              25.4358             33.7275             
1896      4.0504              8.2669              15.2681             48.9781             
1897      14.0826             6.3654              20.8033             51.6404             
1899      5.5059              8.1121              17.1384             47.2988             
1901      6.9017              13.4506             14.2628             38.2368             
1902      2.7778              8.2771              17.3752             29.9140             
1903      4.5686              5.9416              14.0465             36.0086             
1904      3.1229              5.5929              20.6757             29.4712             
1920      2.4699              7.7302              14.6926             30.1768             
1937      2.7399              8.4449              27.4889             39.3110             
1939      4.5878              8.8514              15.5587             54.8689             
1941      4.4150              13.5860             7.0475              57.0505             
1943      4.0843              6.2139              15.8901             26.2732             
1945      2.7164              4.3883              22.6619             29.8399             
1947      4.7621              5.2027              13.7400             25.2168             
1948      3.6501              5.3806              24.3791             33.4902             
1949      6.2525              11.0723             19.2182             52.7022             
1952      8.9550              11.4542             10.7903             63.4606             
1953      5.3063              6.3462              24.6738             37.9136             
1954      6.5691              7.1384              21.1742             59.0492             
