index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
168     12.02         -50.41          15.47         27.48         100000      11.54     
169     23.39         -40.03          2.82          26.21         100000      14.09     
170     22.65         -40.78          7.78          30.42         100000      14.09     
171     12.67         -50.76          5.82          18.49         100000      14.09     
172     10.64         -51.15          13.54         24.18         100000      10.47     
173     21.14         -40.65          7.49          28.63         100000      10.47     
174     13.07         -50.19          7.73          20.80         100000      13.52     
175     22.53         -40.74          3.60          26.13         100000      13.52     
176     13.41         -49.85          4.81          18.21         100000      13.52     
177     13.08         -50.08          9.41          22.49         100000      13.85     
178     21.61         -41.55          12.63         34.24         100000      13.85     
179     13.44         -49.72          7.52          20.96         100000      13.85     
180     11.43         -50.09          6.22          17.65         100000      10.73     
181     10.48         -51.04          7.88          18.35         100000      10.73     
182     11.03         -50.49          7.04          18.06         100000      10.73     
183     14.59         -47.21          7.24          21.83         100000      10.29     
184     12.12         -49.68          8.51          20.63         100000      10.29     
185     11.88         -49.93          7.39          19.26         100000      10.29     
186     11.83         -49.99          10.47         22.29         100000      10.36     
187     10.70         -51.12          10.54         21.24         100000      10.36     
188     10.78         -51.04          8.97          19.74         100000      10.36     
189     11.58         -49.34          5.87          17.45         100000      12.14     
190     10.77         -50.15          11.28         22.05         100000      12.14     
191     13.49         -47.43          2.78          16.27         100000      12.14     
192     12.88         -48.62          13.71         26.59         100000      9.87      
193     11.81         -49.69          4.16          15.97         100000      9.87      
194     11.91         -49.58          4.37          16.29         100000      9.87      
195     9.89          -50.51          6.90          16.79         100000      12.29     
196     10.34         -50.07          8.26          18.59         100000      12.29     
197     10.92         -49.48          5.82          16.75         100000      12.29     
198     20.96         -40.88          8.01          28.97         100000      10.33     
199     11.99         -49.85          8.43          20.42         100000      10.33     
200     11.57         -50.27          10.44         22.01         100000      10.33     
201     12.41         -49.37          5.33          17.74         100000      9.92      
202     21.36         -40.42          5.66          27.02         100000      9.92      
203     12.52         -49.26          13.55         26.07         100000      9.92      
204     10.60         -51.13          6.71          17.31         100000      10.21     
205     12.33         -49.40          6.07          18.40         100000      10.21     
206     20.31         -41.42          10.08         30.39         100000      10.21     
207     12.16         -49.58          5.39          17.54         100000      10.42     
208     10.61         -51.13          9.45          20.06         100000      10.42     
209     13.84         -47.89          4.75          18.59         100000      10.42     
210     12.87         -48.83          7.42          20.29         100000      10.38     
211     11.41         -50.29          10.18         21.59         100000      10.38     
212     11.43         -50.26          7.68          19.11         100000      10.38     
213     10.82         -50.92          18.10         28.93         100000      9.92      
214     12.41         -49.33          7.64          20.05         100000      9.92      
215     11.11         -50.63          5.85          16.96         100000      9.92      
216     11.80         -50.03          5.08          16.89         100000      10.04     
217     18.73         -43.11          10.07         28.80         100000      10.04     
218     16.52         -45.32          12.33         28.85         100000      10.04     
219     11.32         -50.22          4.04          15.36         100000      9.40      
220     10.87         -50.67          4.68          15.55         100000      9.40      
221     11.27         -50.28          6.51          17.77         100000      9.40      
222     13.00         -50.13          4.83          17.82         100000      12.82     
223     12.63         -50.50          7.20          19.83         100000      12.82     
224     11.85         -51.28          5.38          17.22         100000      12.82     
225     20.93         -40.76          3.89          24.83         100000      9.81      
226     11.05         -50.64          11.99         23.04         100000      9.81      
227     12.24         -49.45          5.11          17.35         100000      9.81      
228     11.43         -49.25          4.32          15.75         100000      12.90     
229     21.32         -39.36          3.03          24.35         100000      12.90     
230     10.11         -50.57          6.57          16.68         100000      12.90     
231     11.22         -50.23          5.27          16.49         100000      9.75      
232     20.60         -40.86          4.46          25.05         100000      9.75      
233     11.03         -50.43          11.65         22.68         100000      9.75      
234     16.58         -46.07          2.64          19.23         100000      11.60     
235     22.03         -40.62          4.35          26.39         100000      11.60     
